outcome_metric_id,driver_metric_id,player_type,relationship_type,expected_driver_move_for_better_outcome,weight,required_sample_size,analysis_note
whip,first_pitch_strike_pct,pitcher,tracking_driver,increase,0.45,10,초구 스트라이크는 유리한 카운트 형성 후보
pitcher_k_bb,pitcher_k_pct,pitcher,direct_component,increase,0.80,10,탈삼진률 상승은 K/BB 개선 요인
pitcher_k_bb,pitcher_bb_pct,pitcher,direct_component,decrease,0.80,10,볼넷률 하락은 K/BB 개선 요인
pitcher_k_bb,csw_pct,pitcher,tracking_driver,increase,0.55,10,CSW 상승은 구위와 제구 개선 후보
pitcher_k_bb,swinging_strike_pct,pitcher,tracking_driver,increase,0.50,10,헛스윙 스트라이크 증가는 탈삼진 후보
pitcher_k_bb,first_pitch_strike_pct,pitcher,tracking_driver,increase,0.40,10,초구 스트라이크는 볼넷 감소 후보
war,era_plus,pitcher,value_component,increase,0.70,10,실점 억제 성과가 투수 WAR에 연결
war,ip,pitcher,value_component,increase,0.65,10,이닝 소화는 투수 가치의 핵심 요소
war,fip,pitcher,value_component,decrease,0.60,10,수비 독립 책임 지표 확인
war,pitcher_k_bb,pitcher,value_component,increase,0.50,10,삼진 볼넷 균형은 투수 가치 후보
ip,ip_per_start,pitcher,direct_component,increase,0.70,5,선발 투수의 경기당 이닝 확인
ip,qs,pitcher,related_result,increase,0.50,5,선발 투수의 안정적 소화력 확인
pitcher_k_pct,avg_velocity,pitcher,tracking_driver,increase,0.45,10,구속 증가는 탈삼진 증가 후보
pitcher_k_pct,pitch_type_count,pitcher,tracking_context,context,0.25,10,구종 다양성 변화 확인
pitcher_k_pct,vertical_movement,pitcher,tracking_context,context,0.35,10,수직 무브먼트 변화 확인
pitcher_k_pct,horizontal_movement,pitcher,tracking_context,context,0.35,10,수평 무브먼트 변화 확인
opponent_ops,avg_velocity,pitcher,tracking_driver,increase,0.35,10,구속 변화와 피장타 억제 흐름 확인
opponent_ops,pitch_type_count,pitcher,tracking_context,context,0.25,10,구종 구성 변화 확인
opponent_ops,release_height,pitcher,tracking_context,context,0.25,10,릴리스 변화 확인
opponent_ops,arm_angle,pitcher,tracking_context,context,0.25,10,팔각도 변화 확인
